subject,window_id,window_start_sec,window_duration_sec,label,Mean_RR,Mean_HR,SDNN,RMSSD,pNN50,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,Resp_Rate_Mean,Resp_Rate_Std,Resp_Amplitude_Std,Temp_Mean,Temp_Std,Temp_Min,Temp_Max,ACC_Magnitude_Mean,ACC_Magnitude_Std,ACC_Magnitude_Max,stress_target,Actual_Label,Predicted_Target,Predicted_Label,Stress_Probability,Prediction_Confidence,Prediction_Status,Model_Used
S6,65,975.0,30,1,0.9358986175115208,64.10950809985721,0.0568417566349311,0.0314631844031896,13.333333333333334,40.0,0.011561842412788,0.0193064968318796,17.664142093072513,0.7771983466692843,1.6720353008159228,33.50165557861328,0.0320119224488735,33.444671630859375,33.60498046875,0.9567341638142598,0.0051610749989228,0.977949137487675,0,Not Target,0,Not Target,0.0,100.0,Correct,Extra Trees
S10,124,1860.0,30,3,0.75796992481203,79.15881360976095,0.0769758177075286,0.0328621785632477,16.216216216216218,48.0,0.0213600052587875,0.0022775764922173,17.902976737953818,2.0909673244323854,3.2153353786642214,34.33838653564453,0.0221836771816015,34.27410888671875,34.3642578125,0.940697409910205,0.0049453196791002,0.9641126791864284,0,Not Target,0,Not Target,0.02666666666666667,97.33333333333334,Correct,Extra Trees
S4,56,840.0,30,1,0.951336405529954,63.06917264096106,0.1306487920669528,0.0657230842971007,46.66666666666666,45.0,0.029134594079727,0.0044852851903327,16.664626358007748,1.073844774355005,2.1714286648261094,32.76183319091797,0.0287746023386716,32.701995849609375,32.802337646484375,0.9679959290830912,0.0074132425793322,1.0276485658643142,0,Not Target,0,Not Target,0.0,100.0,Correct,Extra Trees
S2,296,4440.0,30,4,0.847795918367347,70.77174907322708,0.0537505050169109,0.0508546406711434,41.17647058823529,48.0,0.0318568233123866,0.0028995641271508,19.381629544596706,1.7849226007467869,1.1706696137001922,31.32387924194336,0.0158802568912506,31.303131103515625,31.38848876953125,0.9634070320199696,0.0041461744035962,0.9780323489865068,0,Not Target,0,Not Target,0.0,100.0,Correct,Extra Trees
S15,32,480.0,30,1,0.771203007518797,77.80052646972798,0.0560863001361856,0.0316541570592002,13.513513513513514,42.0,0.015599313912401,0.0127201516332616,15.069796307887678,0.7581278037600275,4.087918432683086,33.671512603759766,0.0214469768106937,33.61102294921875,33.70648193359375,0.9164869465284774,0.0101693796002714,0.968647263420336,0,Not Target,0,Not Target,0.02,98.0,Correct,Extra Trees
S8,255,3825.0,30,2,0.6924829931972789,86.6447271476988,0.0610355790811309,0.0295174396485311,4.878048780487805,44.0,0.0107288718086688,0.0090068808544275,15.186940331417864,4.104034909839588,3.140832189930803,35.23704528808594,0.0327200219035148,35.1641845703125,35.283416748046875,0.91951752064251,0.0156759250301133,1.1286814328623471,1,Target,1,Target,0.82,82.0,Correct,Extra Trees
S4,401,6015.0,30,4,0.9991625615763544,60.05028841887296,0.0769522562608875,0.0687084090999752,50.0,52.0,0.0206701708920174,0.0020207563761604,12.180544896236148,1.1326801636642432,1.4731064443343138,33.69388961791992,0.0289647281169891,33.641326904296875,33.747406005859375,0.9729095366578512,0.0043709706684091,0.9909641912685756,0,Not Target,0,Not Target,0.0,100.0,Correct,Extra Trees
S11,137,2055.0,30,2,0.4649433106575964,129.04799063597346,0.0159447395714596,0.0062375616849483,0.0,33.0,0.0131963630654961,0.0175634403293543,14.282688910008346,4.118491272567973,3.175799393881773,34.57972717285156,0.0369634702801704,34.509765625,34.67236328125,0.9195480036727128,0.0252739682628598,1.0350125797160228,1,Target,1,Target,0.9933333333333333,99.33333333333333,Correct,Extra Trees
S10,23,345.0,30,1,0.6163221884498481,97.35167924249149,0.0278380164963941,0.0095900902712552,0.0,49.0,0.0208308336679302,0.0010101826943524,18.322431346593103,1.248306516589238,2.085190694669282,34.31953048706055,0.0235331393778324,34.254241943359375,34.35205078125,0.917462706216072,0.003595685611614,0.9295826624957352,0,Not Target,0,Not Target,0.0,100.0,Correct,Extra Trees
S2,280,4200.0,30,4,0.883030303030303,67.94783802333562,0.0652885643092334,0.0680528193720862,46.875,41.0,0.0313054176411246,0.0116924877671823,18.473535669368,4.230310386068551,1.3465834711534423,31.378631591796875,0.0149795291945338,31.354644775390625,31.416473388671875,0.9592092319024916,0.0042175767039639,0.9711726706448784,0,Not Target,0,Not Target,0.04666666666666667,95.33333333333334,Correct,Extra Trees
